Question,Answers,Comment,Instructions,Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeF6+H2O,H2SeO4+4HF,Hydroxides are more stable in predominantly ionic ones. Only dominantly covalent ones will tautomerize/gemdiol eliminate to get =O groups,Write product in acid form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF6+H2O,no rxn,S is the smallest one showing 6-covalence. This is highly sterically hindered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4+H2O->,PH3+3H3PO2,Identical treatment is impossible here. Thus it disproportionates unlike regular non-Xe hydrolysis. It can be seen that H3PO4 is not formed but H3PO2 by adding H-OH across rest of the bonds in the other 3 Ps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depressant Reactions,ZnS+4NaCN->2Na[Zn(CN)4]+Na2S,Complexing property of Zn is exploited to make ZnS less float-y and settle down,Assume impurity in given ore is Zinc based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cationic Activation Reaction (Froth Floatation),ZnS+CuSO4->CuS+ZnSO4,CuS is the best floater,Assume given ore is Zinc Blende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anionic Activation Reaction (Froth Floatation),CuCO3+Na2S->CuS+Na2CO3,"CuS is the best floater. Although it is meant for sulphide ores, other ores can also be concentrated by froth floatation when such reactions are possible.",Assume given ore is Malachite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaching Bauxite,Al2O3+2NaOH+3H2O->2Na[Al(OH)4],"Ampho property of Al2O3 and solubility is exploited. Problem with this is that SiO2 which is an acidic oxide, will persist",Write product in complex form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaching Silver,Ag2S+4NaCN->2Na[Ag(CN)2]+Na2S,Complexing property of Ag is exploited to precipitate it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mond Process,Ni+4CO->[Ni(CO)4]->Ni+4CO,[Ni(CO)4] is volatile and will also thermally decompose once Seperationerated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Arkel Reaction,M+2I2->MI4->M+2I2,MI4 volatile and also decomposes,Assume the metal is M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test for CN-,CN+FeSO4+H2SO4(conc)->Fe4[Fe(CN)6]3(Prussian Blue),"Used in Lasagne's organic tests. First complex is formed by Fe2+, then Fe2+ in solution is oxidized by concentrated H2SO4. Alternative to this is to simply add Fe(II) and Fe(III) seperately instead of letting H2SO4 do the oxidation",Use CN instead of CN-. Use typical procedure although several ways are possible. Ignore byproducts for this reaction (way too many of them).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO2 (characteristic description),Reddish Brown Fumes,Appears in group Seperationeration of NO3 and NO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2O3-- Group Seperation,S2O3+H->S8(ppt)+SO2,"S=S bond is not polar and is not hydrolysed like regular S-X bonds. It wont hydrolyse like usual. SO3-- is formed which further gives SO3-- group Seperation. S8 formed is actually colloidal, not ppt.",Ignore any charge in ionic equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaching Gold,4Au+O2+8NaCN->4Na[Au(CN)2]+2Na2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-- Group Seperation,S+H->H2S(rotten egg),Its good to note that H2S is largely covalent and wont give test for S-- in solution generally,Ignore any charge in equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 (description),Odourless,"SO2 has odour, but same brisk effervescence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cr2O7-- (Colour Change),Orange->Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrO4- (Colour Change),Yellow->Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO3- (Colour Change),Colourless->Blue-Black,"In starch, I3- shows complexation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeCl3 (Colour Change),Yellow->Green,Fe(III) more stable generally. Fe(II) gains stability when full t2g prefered (Mostly in solution),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Br2/H2O (Colour Change),Brown->Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dil[H+] Anions that dissolve on excess,CO3 SO3 S2O3,But CO3 becomes HCO3 but SO2 and S2O3 form complexes,Space seperated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuCl2+H2O+Na2CO3->,"Cu(OH)2.CuCO3(ppt,green)+NaHCO3","Pb, Zn and Mg give HCO3 on adding CO3 ions too.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2SO3+▲->,Ag,"Unlike Carbonate, this wont thermal decompose into SO2 but redox into SO4--",Include only the characteristic product. Drop (ppt) since all Ag salts are precipitates other than AgNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2S2O3+▲->,Ag2S(black),"Like SO3--, S2SO3-- acts, except the S= gets taken by Ag this time. Same happens other thiosulphate ppts.",Include only the characteristic product. Drop (ppt) since all Ag salts are precipitates other than AgNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2S+HNO3->,S8(ppt)+NO2,"Like concentrated HCl and H2SO4, dilute HNO3 can oxidize. S-- becomes S8 with mild oxidizer.",Ignore spectators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2S+HNO3(conc)->,S8(ppt)+NO,"Conc HNO3 will give NO, Dilute will give NO2. S-- becomes S8 with mild oxidizer.",Ignore spectators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anions that give ppt with BaCl2 that dissolve on HCl,CO3 SO3 S2O3,All dil[H] anions that give off gas on dil[H+],Space seperated,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-- Confirmatory,S+Na2[Fe(CN)5NO]->Na4[Fe(CN)5NOS](Purple),"The nitroso attacks S, Thionitrile is an auxophore in the complex.",Use S instead of S--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test for H2SO3,H2SO3+Na2[Fe(CN)5NO]->Na2H2[Fe(CN)5NOSO3](Red),"The nitroso attacks S, an auxophore is formed in the complex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2O3-- Confirmatory,S2O3+KCN+FeCl3->Fe(SCN)3(Blood Red),S-- wont give this reaction as it will redox with FeCl3. [Fe(SCN)(H2O)5]-- gives this Blood Red colour,Use S2O3 instead of S2O3--.Ignore byproducts for this reaction (way too many of them).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AcOH+H2SO4(conc)->,CO+H2O,"unlike oxalate & Halogens, AcOH will get alpha-dehydrated by conc H2O, not oxidized",Ignore byproducts for this reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCOOH+FeCl3 (Observation),Coloured ppt,"Colour is red for acetate, brown for larger acids. Acetate will form a strong complex and give complex just like phenol, heating will show if its a phenol or COOH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArOH+FeCl3 (Observation),Coloured Solution,Colour is violet for phenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2 (Colour),Violet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iodometry/Hyposolution Reaction,I2+Na2S2O3->Na2S4O6+2NaI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuSO4+KI(excess)->,CuI(ppt)+KI3(brown)+K2SO4,Cu is being reduced by high I concentration. that gives I2 which with I- forms I3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nessler's Reagant Preparation,HgI2+KI->K2[HgI4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO3- Confirmatory,NO3+H2SO4+FeSO4->[Fe(H2O)5NO](brown ring),"[H+] creates a condition similar to HNO3 and NO2 is oxidized by HNO3 to NO. NO has an unpaired electron in antibonding and readily donates it to Fe2+ (unlike how Nitroso is formed in diazonium formation). Fe is exceptionally +1 here. This doesnt need concentrated acid unlike NO2-- because these acid must to reduction and it wont disproportionate(not exactly, but qualitatively) like here",Ignore byproducts for this reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ce+4 (Colour Change),Yellow->Colourless,Ce(III) is colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNO3+Zn,NH3+ZnO,This is done in conc. Basic medium to make the reaction to dissolve [Zn(OH)4]--,Ignore spectators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4+ Confirmatory,"NH4+K2[HgI4]->HgO.HgNH2I(ppt,Chocolate Brown)",,Ignore byproducts for this reaction. Use dot-form of product. Use NH4 instead of NH4+.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaX+Pb(OAc)2->,"PbX2(ppt,soluble on heating)+NaOAc","Just like AgX, colour becomes yellow with PbI2 (altho not much with Br). Cl is more crystalline.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl- Confirmatory,4Cl+K2Cr2O7->2CrO2Cl2(Deep red vapour)+8NaOH->4NaCl+2Na2CrO4(Yellow),"Chromyl Chloride Test. For some reason Concentrated Acids (in group seperation), Chromates and Manganates don't manage to oxidize Cl- in salt.",Use Cl instead of Cl-. Ignore byproducts for this reaction. Add the reagants into reaction in the second step right away (For example like H2O in this reaction: RCHO+KCN->RCH(OH)(CN)+H2O->RCH(OH)COOH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MnO2 Test for Cl-,2Cl+MnO2+2H2SO4(conc)->Cl2(greenish yellow),This indirectly oxidizes Cl- in salt. Concentrated acid gives HCl which is then oxidized by the oxidizer.,Use Cl instead of Cl-. Ignore byproducts for this reaction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO4-- Confirmatory,"SO4+Pb(OAc)2->PbSO4(ppt,insoluble in acid)+2OAc",,Use SO4 instead of SO4--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaCl+KMnO4 [H+]->,no rxn,"For some reason Concentrated Acids (in group seperation), Chromates and Manganates don't manage to oxidize Cl- in salt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMnO4+KOH(conc)->,4K2MnO4(Green)+O2+2H2O,"MnO4-- gains stability very high pH, OH makes the other half",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalt Chloride + ▲ (Colour Change),Pink->Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borax Bead Preparation,Na2B4O7.10H2O->2NaBO2+B2O3,B2O3 has this property of readily taking in metal oxides (Lewis Basic),Include hydration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borax Bead test in Oxidizing Flame,MO+B2O3->M(BO2)2,"Practically, Oxidizing and Non-luminous are same because atmosphere's got 32% O2 anyways",Assume metal is M(II),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borax Bead test in Reducing Flame,Fe2O3+2B2O3+2NaBO2+C->Fe(BO2)2(green)+Na2B4O7+CO,Reduction changes colour,Assume metal is Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2HNO2(aq)->,2NO+HNO3+H2O,N2O3 + H2O. NO2 from one HNO2 reduces another HNO2 to HNO3 (Note that N2O3 doesnt have an anhydride link but a N-N link),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washing Soda Bead Test,MnO+O2+Na2CO3->Na2MnO4(Green)+CO2,"While Borax Bead test is majorly answered by lewis acidic oxides with colour giving metals, Sodium Carbonate Bead test is answered by lewis basic oxides (MnO2 and Cr2O3 are amphoteric and MnO oxidized from their stable oxidation state in oxidizing flame to this). CO2 is already oxidized, so though high T, CO isnt formed in oxidizing flame",Assume metal is Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group I,AgCl PbCl2(Soluble on heating),,"Precipitates (Don't inclue (ppt), include colour/description)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group II,PbS(black) CuS(black) HgS(red) Bi2S3(Brown),,"Precipitates (Don't inclue (ppt), include colour/description)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group III,Al(OH)3(gelatinous) Cr(OH)3(green) Fe(OH)3(brown),,"Precipitates (Don't inclue (ppt), include colour/description)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group IV,MnS(flesh) ZnS(dirty white),,"Precipitates (Don't inclue (ppt), include colour/description)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group V,CaCO3 BaCO3,,"Precipitates (Don't inclue (ppt), include colour/description)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group VI,Mg(NH4)2PO4,,"Precipitates (Don't inclue (ppt), include colour/description)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HgCO3+▲->,2Hg+O2+2CO2,"Unlike regular decompositions, HgCO3 directly goes to Hg because HgO decomp temperature is pretty low too. Same with nitrates. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na2CO3+▲->,no rxn,Alkali metal carbonates (ex. Li by diagonal rel) are thermally stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HNO3+▲->,H2O+NO2+O2,"Note that same reaction happens in oxidation half. N2O5 (Has an N-O-N bond, it is the anhydride of acid not exactly a nitrogenoxide) wants to become NO2 and NO3 but NO3 is unstable. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2SO4+▲(extreme)->,H2O+SO2+O2,"Note that same reaction happens in oxidation half. Generally, Pyrolysis are driven by ppt-ing or gas-ing. When SO4 is the oxidizer it goes to SO2, When SO4 is being *reduced* it goes to S--.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(COOH)2+▲->,H2O+CO+CO2,"First decarbox at one side, and then how AcOH on dehydration, CO is given. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4IO3+▲->,N2+I2+O2+4H2O,"If anion is oxidizing, NH3 is oxidized. I2 and Cl2 are not oxidizing per se, so Cl- and I- are not formed unless N2 was reducing in nature. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4NO3+▲->,N2O+2H2O,"Exceptionally N2O is formed instead of N2 because this isnt redox although anion is oxidizing, this is just literally removing H2O to give :kekw:-gas. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH4NO2+▲->,N2+2H2O,"Unlike typical NO2 decomp, this exceptionally goes through NH4NO3 decomposition. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NH4)2HPO4+▲->,H3P3O9+NH3+H2O,"All NH4 bonds are replaced with anhydride links, OH unaffected with pure NH3 and H case. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na(NH4)HPO4+▲->,Na3P3O9+NH3+H2O,"All NH4 bonds are replaced with anhydride links, OH are also touched when theres a better metal around. Metal bonds are unaffected and H-P are also unaffected. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaNO3+▲->,NaNO2+O2,"Unlike regular NO2-, Group I nitrites are stable similar to same stabilization that stabilizes peroxides and superoxides. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AuCl3+▲(mild)->,AuCl+Cl2,"Heating halides supports leaving of X2 even if bigger ox state is more stable if difference in stability is small enough. Generally, Pyrolysis are driven by ppt-ing or gas-ing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCl2.2H2O+▲->,MO+HCl+H2O,Hydrated chloride salts are actually complexes and Cl leaves easier than O in some H2O->M. This is for Sn(II) Mg Fe Al Zn Cu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOAc+▲->,K2CO3+CH3COCH3,"Group I carbonates are stable and won't break further. Decarbox does not happen as there is not driving force here unlike beta carbonyl in oxalate. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2SO3+▲->,H2SO4+S8(ppt)+H2O,"Acids not at their ortho ox state or mineral form disproportionate simply because the extremes are more stable than others. Generally, Pyrolysis are driven by ppt-ing or gas-ing which is S8 here. Mild heating gives H2O+SO2, on extreme heating SO2 reacts further with H2SO3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOCl+▲->,HCl+HClO3,Acids not at their ortho ox state or mineral form disproportionate simply because the extremes are more stable than others.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HClO3+▲->,HClO4+ClO2+H2O,"Cl2O5+H2O. This is already at ortho ox state, this reaction is more similar to HNO2-> N2O5. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3PO2+▲->,H3PO4+PH3,"Acids not at their ortho ox state or mineral form disproportionate simply because the extremes are more stable than others. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2C2O4+▲->,Ag+CO2,"Although Ag2O+CO+CO2 is expected like in AgCO3, Ag2O + CO -> Ag + CO2. Generally, Pyrolysis are driven by ppt-ing or gas-ing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C+H2O (high T),CO+H2,"At high T, CO becomes highly stable as compared to CO2 and C becomes highly reducing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Gas + Steam,2H2+CO2,At lower temperatures CO2 is more stable,Write Full reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d-series Amphoteric Oxides,V2O5 Cr2O3 MnO2 ZnO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutral Oxides of N,N2O NO,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphoteric Maingroup Metal Oxides,SnO PbO2 As2O3 Sb2O3 Sb2O5 GeO2,,Other than BeO Al2O3 Ga2O3 SnO2 PbO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4+H2O (high T),CO+H2,"At high T, CO becomes highly stable as compared to CO2 and even combustion results in CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Synthetic Gas + Cu Catalyst,CH3OH,This is an exceptional case where Cu doesnt do dehydrogenation but hydrogenates,Write Full reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haber's Process,N2+H2+Fe->NH3,,Include catalyst as if it was a reactant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaBH4 synthesis,B(OCH3)3+NaH->Na[BH4]+NaOCH3,,Use Complex form NaBH4. Use salt-form of by products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbSO4+CaH2->,"PbS(ppt,black)+Ca(OH)2",Reducing nature of H-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO+NaH,HCOONa+C,"NaH + CO -> C + NaOH is formed, CO is not that stable so CO->CO2+C. Both combined CO2 is acidic and HCOONa is formed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NH4)2SO4+▲->,NH3+H2SO4,SO4 isnt considered oxidizing other than in H2SO4(conc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2H6+ ⌁ ->,B4H10+2H2,Two terminal B-H are replaced by B-B. Covalent Group13 Hydrides show this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be+H2O->,no rxn,"Unlike Li, Be doesnt show exceptional reducing nature (Li+ has only 1 shell). Because of exchange energy, Be wont even react with Hot water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S block in NH3,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excess S block in NH3,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S block in NH3 upon standing,MNH2 + H2,S block is highly reducing. Just like M+H2O->MOH+H2,Use M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li3N+▲->,Li+N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NaN3+▲->,Na+N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baryta Water + CO2(excess),Ba(HCO3)2,This is more sensitive than Lime water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caustic Soda,NaOH,Soda-Na; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na+N2->,no rxn,Group 1 Nitrides are unstable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Co(NH3)5Cl]Cl2+NaOH->,Co2O3+NaCl+NH3+H2O,NaOH is strong enough to remove solvation from metal ion and react. They liberate NH3 from ammine complexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
