Question,Answers,Comment,Instructions,Render as
Fructose+Br2/H2O,Fructose,Ketone cant be further reduced to acid,Just type common name,Image
"Out of the standard set of test for carbonyl, list tests that fructose will not show",,Fructose can tautomerize in basic and acidic mediums into aldehyde,"Standard set of tests for carbonyl here are DNP, Tollen, Fehling, Benedict, Schiff, NaHSO3, Oxime. Type names seperated by commas in same spelling as here in same order",Text
Glucose+RaNiH2,Sorbitol,,Common name,Image
Glucose+ROH+[H+],Alkyl Glucopyranoside,SN similar to Ether formation happens but only at carbonyl carbon since that is the most acidic H,Type Common name,Image
Glucose+phNH2NH2,Yellow Precipitate,"unlike heavily deactivaed phenylhydrazine, regular's lone pair on ph-N will attack the adjacent OH's H, and cyclic elimination gives another aldehyde there. This wont further react as once reacted twice, it cant tautomerize as the H is busy in H bonding",Type observation (don’t abbrievate anything),Image
"In Fischer projection of α-D- Glucose, assuming Hemiacetal linkage goes to top in highest oxidized carbon, type the position of OH groups with respect to the primary chain.",RRLRR,,"Type as a string of R and L R for right, L for left.",Text
Radius Ratios,0.155 0.225 0.414 0.732 1,Linear Triangle sp3 octahedral/dsp2 BCC ClosedPacking,space seperated in decimal form,Image
Zinc Blende,ZnS fcc Tetrahedral,Ratio rule gives tetrahedral and only half of the total Tetravoids are occupied (like sp3 covalent solids),Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Wurtzite,ZnS hcp Tetrahedral,,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
NaCl,fcc octahedral,Just a simple linear arrangement of alternating Na and Cl (Ratio rule gives octahedral),Lattice Voids,Image
CsCl,bcc with Cl at corners,"Ratio close to 0.9 (Cs is much smaller because Ionic radius Is taken here, not covalent)",Lattice Voids,Image
Flourite,AX2 fcc Tetrahedral,Tetrahedral ratio,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Antiflourite ,A2X fcc Tetrahedral,Cations occupy voids here,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Rutile,TiO2 Three-Coordination,BCC with O and Ti takes 3 coordination spots,Formula Special-property,Image
Corrundum,Al2O3 hcp Octahedral,2/3 of Octahedral voids are taken by O,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Solubility,Size,,"Just name the MAJOR factor, forget exceptions for now",Image
Self reduction,Cu2S PbS,,space seperated,Image
