Questions,Answers,Render as
Complete the rxn:<br>4LiH +AlCl3-&gt;[dry ether],Li[AlH4]+3LiCl,
LiOH is used in Organic Chemsitry to&nbsp;,Reduce Carbonyls to Alcohols,
Li[AlH4] is stored in:,Dry organic solvents like ether dried over Na,
Formation of Sodium Tetrahydridoborate,4NaOH+B(OCH3)3-&gt;[230-270C] Na[BH4]+3NaOCH3,
Complete the rxn:<br>Li[BH4] +2H2O-&gt;,LiBO2+4H2,
Hydration is&nbsp;{{c1::inversely}} proportional to size,,1
Ionic Mobility is&nbsp;{{c1::directly}} proportional to size,,1
Ionic Mobility is&nbsp;{{c1::inversely}} proportional to Hydration<br>,,1
Ionic Mobility order,Cs+&gt;Rb+&gt;K+&gt;Na+&gt;Li+,
Radius of Hydrated ion order,Li+&gt;Na+&gt;K+&gt;Rb+=Cs+,
Hydration Number order,Li+&gt;Na+&gt;K+&gt;Rb+=Cs+,
Which d-orbitals are used in hydration of Rb+ and Cs+?,d_{x^2-y^2} d_{z^2},
For which halogen&nbsp;is LiX less soluble than CsX?,F,
Solubility order of Iodides,NaI&gt;LiI&gt;KI&gt;RbI&gt;CsI,
Solubility order of Chlorides,LiCl&gt;CsCl&gt;RbCl&gt;NaCl&gt;KCl,
Solubility order of Carbonates,Cs2CO3&gt;Rb2CO3&gt;K2CO3&gt;Na2CO3&gt;Li2CO3,
Complete the rxn:<br>Na+NH3_(l)-&gt;[Fe/impurities],NaNH2+1/2H2,
In the absence of impurities which metals can dissolve in NH3(l),Li Na K Rb Cs Sr Ba Ca Eu Yb,
Colour of dilute solutions in liquid ammonia,Dark Blue,
After some time the colour of dilute solutions in liquid ammonia fades due to&nbsp;{{c1::Amide}} formation,,1
"At concn over 3M, what is the colour of solutions in liquid ammonia",Copper Bronze,
What is the reason for the colourations of concentrated solutions in liquid ammonia,Presence of Metal ion clusters,
Solutions in liquid ammonia are strong&nbsp;{{c1::reducing}} agents,,1
Solubility order in liquid ammonia,Li&lt;Na&lt;K,
Which metals are needed in major quantities in the human body,Na K Mg Ca,
Which metals are required in minor quantities in the human body?,Mn Fe Co Cu Zn Mb,
Which metals are required in trace quantities in the human body?,V Cr Sn Ni Al,
Which one has the tendency to form complexes and solid ammoniated salts?,Li,
Which hydroxide is sparingly soluble?,LiOH,
Causes of Diagonal Relationships,1) Similar Size<br>2) Similar charge per unit area<br>3) Electronegativity,
Lime-Caustic Soda Process,Na2CO3+Ca(OH)2&lt;--&gt;CaCO3+2NaOH,
Which process is used in the manufacture of Na2CO3,Solvay Process,
Complete the rxn:<br>2(Na2CO3.NaHCO3.2H2O-&gt;[heat],3Na2CO3+CO2+5H2O,
How much NaCl is converted to Na2CO3 in the Solvay Process?,75%,
Steps in Solvay Process:<br>1)&nbsp;{{c1::Purify saturated brine and react with gaseous ammonia}}<br>2)&nbsp;{{c1::Carbonate the ammoniated brine with CO2 forming NaHCO3}}<br>3)&nbsp;{{c1::Filter out the NaHCO3 by heating at 150C}}<br>4)&nbsp;{{c1::CO2 is removed by heating and reused}}<br>5)&nbsp;{{c1::NH3 is removed by addition of a slurry of lime in H2O and reused}},2) NaHCO3 is insoluble due to the common-ion effect caused by brine<br>3) Na2CO3 thus formed is called light soda ash as it's density is 0.5g/cc,1
"""Complete the process:<br>{{c1::NH3}} +H2O +{{c1::CO2}}-&gt; {{c1::NH4.HCO3}}<br><font color=""""#0000ff"""">NaCl+&nbsp;</font>{{c1::NH4.HCO3}}-&gt; {{c1::NaHCO3 +NH4Cl}}<br>{{c1::NaHCO3}}-&gt;[{{c1::150C}}] {{c1::Na2CO3 +CO2 +H2O}}<br><font color=""""#0000ff"""">CaCO3&nbsp; </font>-&gt;[1100C, lime kiln] {{c1::CaO +CO2}}<br>{{c1::CaO}} +H2O -&gt; {{c1::Ca(OH)2}}<br>{{c1::2NH4Cl +Ca(OH)2}}-&gt;{{c1::2NH3 +CaCl2 +2H2O}}<br>""",,1
"""Label the diagram:<br><img src=""""paste-8c6cc11c5e9c314a022ce47bc0d5ae8602526a77.jpg"""">""","""<img src=""""paste-d232cacd165868b5461f54a736a8084116970251.jpg"""">""",
What is the purpose of a diaphragm in a diaphragm cell,To prevent mixing of Cl2 and H2 and minimize side reactions,
In what is the solution mixture obtained from the diaphragm cell concentrated?,Steam Evaporator,
"""Label the diagram:<br><img src=""""paste-361ddb4170b23bd82235201457708a829c33ac03.jpg"""">""","""<img src=""""paste-6858552dbfabd8013ce243e2235e9789237944e0.jpg"""">""",
Reducing Power in aqueous solution:,Li&gt;K~Rb~Cs&gt;Na<br>,
How are they stored?,Kerosene/Paraffin Oil,
Order of stability of Carbonates,Cs2CO3&gt;Rb2CO3&gt;K2CO3&gt;Na2CO3&gt;Li2CO3,
Thermal Decomposition of LiNO3 rxn:,4LiNO3-&gt;[475-650C] 2Li2O+4NO2+O2,
K2SO4 +Al2(SO4)3 +xH2O-&gt;,K2SO4.Al2(SO4)3.24H2O,
Why is the dilute solution in liquid ammonia blue?,Due to presence of ammoniated electrons,
2Li +NH3(l)-&gt;,Li2NH+H2,
Colour of K2O3,Red,
LiH is a&nbsp;{{c1::covalent}}[covalent/ionic] compound,,1
What causes colouration in superoxides,Lattice defect<br>,
"2Na +H2 -&gt;[T] 2NaH, what is T?",400C,
"2Li + H2 -&gt;[T] 2LiH, what is T?",800C,
Dilute solutions in ammonia are&nbsp;{{c1::paramagnetic}}[paramagnetic/diamagnetic],,1
Concentrated solutions in ammonia are&nbsp;{{c1::diamagnetic}}[paramagnetic/diamagnetic],,1
"Which alkali halide is soluble in ethanol, acetone, acetylate and pyridine",LiCl,
LiCl is soluble in which solvents besides water?,ethanol acetone acetylate pyridine,
At what temperature does Na2CO3.10H2O become Na2CO3.H2O,103C,
At what temperature does Na2CO3.H2O become anhydrous?,&gt;100C,
Melting point of NaCl,808C,
Melting point of NaOH,591K,
By which process is NaOH produced commercially?,Castner-Kellner&nbsp;,
2Li +C2H2 -&gt;,"""<font color=""""#212121"""">Li2C2 +H2</font>""",
2Na +2C2H2-&gt;,2NaC2H+H2,
