Question,Answers,Comment,Instructions,Render as
Glucose+phNH2NH2,Yellow Precipitate,"unlike heavily deactivaed phenylhydrazine, regular's lone pair on ph-N will attack the adjacent OH's H, and cyclic elimination gives another aldehyde there. This wont further react as once reacted twice, it cant tautomerize as the H is busy in H bonding",Type observation (don’t abbrievate anything),Image
"In Fischer projection of α-D- Glucose, assuming Hemiacetal linkage goes to top in highest oxidized carbon, type the position of OH groups with respect to the primary chain.",RRLRR,,"Type as a string of R and L R for right, L for left.",Text
Radius Ratios,0.155 0.225 0.414 0.732 1,Linear Triangle sp3 octahedral/dsp2 BCC ClosedPacking,space seperated in decimal form,Image
Zinc Blende,ZnS fcc Tetrahedral,Ratio rule gives tetrahedral and only half of the total Tetravoids are occupied (like sp3 covalent solids),Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Wurtzite,ZnS hcp Tetrahedral,,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
NaCl,fcc octahedral,Just a simple linear arrangement of alternating Na and Cl (Ratio rule gives octahedral),Lattice Voids,Image
CsCl,bcc with Cl at corners,"Ratio close to 0.9 (Cs is much smaller because Ionic radius Is taken here, not covalent)",Lattice Voids,Image
Flourite,AX2 fcc Tetrahedral,Tetrahedral ratio,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Antiflourite,A2X fcc Tetrahedral,Cations occupy voids here,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Rutile,TiO2 Three-Coordination,BCC with O and Ti takes 3 coordination spots,Formula Special-property,Image
Corrundum,Al2O3 hcp Octahedral,2/3 of Octahedral voids are taken by Al,Formula Lattice Voids-occupied (use fcc everywhere instead of ccp),Image
Solubility,Size,"Exceptions are sblock Flourides, NaI>LiI and large cations such as CO3, C2O4, HCO3, PO4","Just name the MAJOR factor, forget exceptions for now",Image
Self reduction,CuS PbS,,space seperated,Image
µ0,4pie-7,,Use SI units,Image
R∞,1.097e+7,,Use SI units,Image
R (in Latm/Kmol),0.0821,, ,Image
R (in cal/K),2,, ,Image
Coefficient of ln term in nernst equation,-0.059,negative sign signifies that Ecell decreases as reaction progresses,Use SI units,Text
G,6.67e-11,,Use SI units,Image
Bohr Radius,0.529,,Use A,Image
1Debye,e-10,,in A and esu,Image
Figure of Merit,1/(current sensitivity),, ,Text
First 5 Emission Series,Lyman Balmer Paschen Bracket Pfund,,Space seperated,Text
Stark Effect,Electric Field,,Magnetic Field or Electric Field?,Image
Light Bands (Asc. of f),Radiowave TV Microwave IR Visible UV X y Cosmic,,Use y instead of gamma,Text
General Atomic mass of first 20 elements interms of Z (odd),2Z+1,, ,Text
General Atomic mass of first 20 elements interms of Z (even),2Z,, ,Text
Exceptions to General Atomic mass emperical formulas for first 20 Elements,H Be N Cl Ar,, ,Text
Atomic Mass of Mn,55,, ,Image
Atomic Mass of Fe,56,, ,Image
Atomic Mass of Cu,63.5,, ,Image
Atomic Mass of Zn,65,, ,Image
Atomic Mass of Br,79,, ,Image
Atomic Mass of I,127,, ,Image
Atomic Mass of Ba,137,, ,Image
Atomic Mass of Ag,108,, ,Image
Smallest elemental paramagnetic gas,B2,, ,Text
"H2O2 dihedral angle (compare (g) and (s),Asc.)",(s)<(g),A nice cubic lattice can be formed,,Text
I and II Carbonates,Stable Unstable,, ,Image
Thermal Stability within group (s block),Ionic%,"Flourides are an exception, Bond length so small that dr/r^2 becomes dominating","Just name the MAJOR factor, forget exceptions for now",Text
"In an ellipse, if N is x intersept of normal: NF1/NF2=",PF1/PF2,Because its angle bisector, ,Image
Vapour Density (in chemistry),M/2,Sadists dont wanna go with m/V but wanna go with (m)/(m)of Hydrogen in same conditions, ,Text
Vcritical,3nb,, ,Image
Pcritical,a/(27b^2),"an^2/V^2; V=3nb, but then it should have a 27. So a/27b^2", ,Image
Zcritical,3/8,, ,Image
Atomic Mass of Be,9,, ,Image
Atomic Mass of Ar,40,, ,Image
Atomic Mass of Cl,35.5,, ,Image
Blue Vitrol,CuSO4.5H2O,, ,Image
Green Vitrol,FeSO4.7H2O,, ,Image
Hydration of MgCl2,6,, ,Image
Gypsum,CaSO4.2H2O,, ,Image
Plaster of Paris,CaSO4.1/2H2O,, ,Image
Epsom,MgSO4.7H2O,, ,Image
Confocal Conics,Orthogonal,,,Image
Units of molality,mol/kg,,,
Boyle,P V,,,
Charles,T V,,,
Gay Lussac,P T,,,
Avagadro Law,n V,,,
"Coefficients for Vmost prob, Vmean, Vrms",f-1 8/pi f,,,
Denominator Coefficient in Mean Free Path,sqrt(2),,,
Boyle Temperature,a/Rb,Just dimensional analyse,,
Main Reagant in Lassagne Test,Na,,,
h=1242 (Units),eV-nm,,,
Max Pressure/Max particle displacement,,,,
