Questions,Answers,Comments,Instructions
3C2H5OH+PCl3 ,3C2H5Cl+H3PO3,,
P4+10Cl2 ,4PCl5,,
P4+10SO2Cl2 ,4PCl5+10SO2,,
PCl5+H2O ,POCl3+2HCl,,
POCl3+3H2O ,H3PO4+3HCl,,
PCl5 +heat ,PCl3+Cl2,,
C2H5OH+PCl5 ,C2H5Cl+POCl3+HCl,,
CH3COOH+PCl5 ,CH3COCl+POCl3+HCl,,
2Ag+PCl5 ,2AgCl+PCl3,,
Sn+2PCl5 ,SnCl4+2PCl3,,
4H3PO3 +heat ,3H3PO4+PH3,,
4AgNO3+2H2O+H3PO2 ,4Ag+4HNO3+H3PO4,,
2Se2Cl2 ,SeCl4+3Se,,
SiO2+2NaOH ,Na2SiO3+H2O,,
SiO2+HF ,SiF4+2H2O,,
2KClO3 (+heat +MnO2) ,2KCl+3O2,,
Ag2O +heat ,Ag+O2,,
2HgO +heat ,2Hg+O2,,
2Pb3O4 +heat ,6PbO+O2,,
2PbO2 +heat ,2PbO+O2,,
2H2O2 +MnO2 ,2H2O+O2,,
2Ca+O2 ,2CaO,,
4Al+3O2 ,2Al2O3,,
P4+5O2 ,P4O10,,
2ZnS+3O2 ,2ZnO+2SO2,,
CH4+2O2 ,CO2+2H2O,,
SO2+O2 (+V2O5) ,2SO3,,
HCl+O2 (+CuCl2) ,2Cl2+2H2O,,
SO2+H2O ,H2SO3,,
SO3+H2SO4 ,H2S2O7 ,(Oleum),
Cu+2H2SO4(conc) ,CuSO4+SO2+2H2O,,
S+2H2SO4(conc) ,3SO2+2H2O,,
C+2H2SO4(conc) ,CO2+2SO2+2H2O,,
X2+H2O (X2?F2) ,"HX+HOX, HF+O2",,
MnO2+4HCl ,MnCl2+Cl2+2H2O,,
4NaCl+MnO2+4H2SO4 (preferred over MnO2+HCl) ,MnCl2+4NaHSO4+2H2O+Cl2,,
2KMnO4+16HCl ,2KCl+2MnCl2+8H2O+5Cl2,,
4HCl+O2 (+CuCl2) {Deacon's process} ,2Cl2+2H2O,,
Al/Na/Fe+Cl2 ,(Al/Na/Fe)Cl,,
P4+6Cl2 ,4PCl3,,
S8+4Cl2 ,4S2Cl2,,
H2+Cl2 ,2HCl,,
H2S+Cl2 ,2HCl+S,,
C10H16+8Cl2 ,16HCl+10C,,
8NH3(excess)+3Cl2 ,6NH4Cl+N2,,
NH3+3Cl2(excess) ,NCR3+3HCl,,
2NaOH(cold & dil) +Cl2 ,NaCl+NaOCl+H2O,,
6NaOH(hot & conc) +3Cl2 ,5NaCl+NaClO3+3H2O,,
Bleaching powder ,Ca(OCl)2.CaCl2.Ca(OH)2.2H2O,,
CH4+Cl2 (+UV) ,CH3Cl+HCl,,
C2H4+Cl2 ,C2H4Cl2,,
2FeSO4+H2SO4+Cl2 ,Fe2(SO4)3+2HCl,,
Na2SO3+Cl2+H2O ,Na2SO4+2HCl,,
SO2+2H2O+Cl2 ,H2SO4+2HCl,,
I2+6H2O+5Cl2 ,2HIO3+10HCl,,
Cl2+H2O ,2HCl+O,,
NaCl+H2SO4 +heat(420K) ,NaHSO4+HCl,,
NaHSO4+NaCl +heat(823K) ,Na2SO4+HCl,,
HCl+H2O (alpha~1) ,H3O+Cl-,,
Au+4H+NO3-+4Cl- ,AuCl4-+NO+2H2O,,
3Pt+16H+4NO3-+18Cl- ,3PtCl6-+4NO+8H2O,,
Na2CO3+2HCl ,NaCl+H2O+CO2,,
NaHCO3+HCl ,NaCl+H2O+CO2,,
Na2SO3+2HCl ,2NaCl+H2O+SO2,,
Fe+2HCl ,FeCl2+H2 ,(H2 produced prevents the formation of Fe3+),
Cl2+F2 +heat(437K) ,2ClF,,
Cl2+3F2(excess) +heat(573K) ,2ClF3,,
I2+Cl2 ,2ICl,,
I2+3Cl2(excess) ,2ICl3,,
Br2+3F2 (diluted with H2O) ,2BrF3,,
Br2+5F2(excess) ,2BrF5,,
"XX'+H2O (X'=smaller, X=larger) ",HX'+HOX,,
U+3ClF3 ,UF6+3ClF,,
6Ra88 (Radium = radioactive) ,Rn86 + ?He2,,
"Xe(excess)+F2 (673K,1Bar) ",XeF2,,
"X+2F2 (873K,7Bar) (1:5 ratio) ",XeF4,,
"Xe+3F2 (573K,60-70Bar) (1:20 ratio) ",XeF6,,
2XeF2(ppt)+2H2O ,2Xe+4HF+O2,,
XeF2+PF5 ,[XeF][PF6]-,,
XeF4+SbF5 ,[XeF3][SbF6]-,,
XeF6+MF (M=Na/K/Rb/Cs) ,M[XeF7]-,,
XeF6+3H2O(excess) ,6HF+XeO3,,
XeF6+2H2O ,XeO2F2+4HF,,
XeF6+H2O ,XeOF4+2HF,,
6XeF4+12H2O ,4Xe+24HF+2XeO3+3O2,,
2Cu+4I- ,Cu2I2+I2,,
2Cu(aq) ,Cu+Cu,,
2I-+S2O8- ,I2+2SO4-,,
2Na2CrO4+2H ,Na2Cr2O7+2Na+H2O,,
Na2Cr2O7+2KCl ,K2Cr2O7+2NaCl (K2Cr2O7>Na2Cr2O7 stability),,
2CrO4-+2H ,Cr2O7-+H2O,,
Cr2O7-+2OH- ,2CrO4-+H2O,,
2MnO2+4KOH+O2 ,2K2MnO4+2H2O,,
3MnO4-+4H ,2MnO4-+MnO2+2H2O,,
2Mn+5S2O8-+8H2O ,2MnO4-+10SO4-+16H,,
2KMnO4 +heat(513K) ,K2MnO4+MnO2+O2,,
MnO4-+e- ,MnO4-,,
MnO4-+4H+3e- ,MnO2+2H2O,,
MnO4-+8H+5e- ,Mn+4H2O,,
10I-+2MnO4-+16H ,2Mn+8H2O+5I2,,
5C2O4- +2MnO4- +16H ,2Mn+8H2O+10CO2,,
5S- +2MnO4- +16H ,2Mn +8H2O+5S,,
5SO-+2MnO4- +6H ,2Mn +3H2O+5SO4-,,
5NO2-+2MnO4- +6H ,2Mn +5NO3- +3H2O,,
2MnO4-+H2O+I- ,2MnO2 +2OH- +IO3-,,
8MnO4-+3S2O3- +H2O ,8MnO2 +6SO4- +2OH-,,
2MnO4- +3Mn +2H2O ,5MnO2 +4H,,
