Question,Answers,Comment,Instructions,Mode
Preperation of K2Cr2O7,FeCr2O4+Na2CO3+O2->Na2CrO4+H2SO4->Na2Cr2O7+KCl->K2Cr2O7,FeCr2O4 is found as ore FeO+Cr2O3 (Not Fe2O3 because Cr2O3 is actually complexating with Fe). Cr2O7 is just CrO4 after making an anhydride link catalysed by acid. The first reaction is similar to Na2CO3 bead test in Oxidizing flame. NaOH isnt used as that strong a reagant isnt necessary.,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts for this reaction. Ignore colours.,
K2Cr2O7+▲->,K2CrO4(yellow)+Cr2O3(green)+O2,One of the Cr is going to stable ox state. The anhydride link is broken just like in N2O5. Generally pyrolysis driven by gas-ing or ppt-ing,,
Preparation of KMnO4,MnO2+KOH+O2->K2MnO4+Cl2->KMnO4,"MnO2 is found as ore. MnO4-- is stabilized in extremely basic medium, it servers as a good intermediate to move to MnO4-. Cl is used as its both a mild oxidizer and works against pH. First step here is similar to K2Cr2O7 too, in a way that KOH is capturing MnO4-",Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts for this reaction. Ignore colours.,
Preparation of Na2CrO4,3Na2O2(pale yellow)+Cr2O3(green)+H2O->2Na2CrO4(yellow)+NaOH,Na2O2+H2O->2NaOH+[O]; Cr+3 -> Cr+6; Reaction is done aqueous medium,,
Sr+O2->,SrO,"According to Na,K,Sr,Ba it is expected to be peroxide, but nope. It still forms peroxide, just not major",,
K+O2->,KO2(orange),"According to Na,K,Sr,Ba it is expected to be peroxide, but nope",,
"Metals that give peroxide with air, but not major","Ca, Sr, K",,Space Seperate,1
Na2S+Air->,Na2S2O3+NaOH,There is neither a mild oxidizer or a strong oxidizer. When S-- is the reducer it goes to S2O3--,Assume Air is moist,
Mg[BH4]2+H2O->,Mg[B(OH)4]2+4H2,"H3BO3 is a lewis acid, this is often abbrievated as Mg(BO2)2 since metaborate is a gross term, not referring to only true meta acids",,
Na[BH4]+H2O->,no rxn,NaBH4 is stable in water (BH4 is highly covalent),,
Na+C->,no rxn,Group I doesnt react directly with C,,
Solvay Process - Production Steps,NH3+H2O+CO2->NH4HCO3+NaCl->NH4Cl+NaHCO3->Na2CO3+NH4Cl,,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts for this reaction except the significant ones (retain significant ones till the end). Don't notate heating,
Solvay Process - Regenaration Steps,CaCO3->CaO+H2O->Ca(OH)2+NH4Cl->NH3,,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts. Don't notate heating,
Clark's Process for Mg,"Mg(HCO3)2+Ca(OH)2->Mg(OH)2(ppt, sparingly soluble)+CaCO3(ppt)+H2O","Mg(OH)2 is sparingly soluble, but ppt here because of common ion with Ca(OH)2",,
Ion Exchangers for Permanent Hardness,Na6P6O18(Calgon) NaAlSiO4(zeolite/permutit) RSO3Na(Resin),Calgon is a Hexametaphosphate; A Zeolite is when Silica is doped with A G13 element and a counter metal such as Na,,1
Lime-soda process,CaSO4+Na2CO3->CaCO3(ppt)+Na2SO4,Used in preparation of Na2SO4,No not fresh lime soda.,
Be+C->,Be2C,"Like Al4C3, Gives methane not ethyne",,
BeX2 salts are extremely soluble even though being largely covalent due to the formation of:,[Be(H2O)4]X2,,,
B+NaOH->,Na3BO3+H2,"H3BO3 seems to act arhenius. But this is 2Na2O.B2O3, not H3BO3+NaOH",Use oxide form,
Thermite Reaction,Al+O2->Al2O3,HUGE Amount of heat,,
2B2O3+P4O10,B4P4O16,Forced Acid Base reactions are in anhydrous conditions and this isnt exactly acid base but more like oxides sharing lattice.,,
Na2CO3+Fe2O3 (1000*C),Na2Fe2O4+CO2,Forced Acid Base reactions are in anhydrous conditions and this isnt exactly acid base but more like oxides sharing lattice.,,
Borax - True Form,Na2[H2B4O7(OH)2].8H2O,It is a lewis A-B derivative of H2B4O7,,
Metaborate,[B(OH)4],"Meta is a gross term. Though today its known that HBO3 -> [B(OH)4]-, back then the reaction looked like HBO3 -> BO2- and hence this was called metaborate ion",,
Pyroboric Acid,H2B4O7,Pyroacid is when 1 H2O left. It is not a gross word and denotes a specific acid. But the guy who named Boron :clap: acids was a Moron :clap: and named H2B4O7 as pyroboric acid.,,
B-Compounds that give characteristic flame colour,BF3(green) B(OCH3)3(green),,,1
NaAlO2.2H2O+CO2->,"NaHCO3+Al(OH)3(ppt,gelatinous)",As seen by reactivity series CO2 pka < Al2O3,,
Na2CO3+Al2O3 (anhydrous),Na2Al2O4+CO2+H2O,"Prediction with reactivity series applies, but pka2 of H2CO3 is pretty bad. Once reacted a bit, since conditions are anhydrous, CO2 could either escape or stay as an unstable NaCO3-, it escapes",,
LiH+AlCl3,(AlH3)n+LiCl,Tau Bonds; LiAlH4 is formed only with excess LiH,,
Laboratory Preparation of Diborane,NaBH4+I2->B2H6+NaI+H2,,(Not from BF3),
Industrial Preparation of Diborane,NaH+BF3->B2H6+NaF,HSAB,,
Production of Diborane from B2O3,B2O3+Al+H2->Al2O3+B2H6,"The huge heat from Al causes H2 to flame and instead of H2O, B2O3 forms",,
AlCl3+CH3MgCl->,MgCl2+Al2(CH3)6,Me shows Tau bonds too,,
B2H6+NH3(excess) (Extreme T)->,(BN)n+H2,"Like how Benzene becomes Graphite, Borazine becomes boronitride",,
B2H6+NH3,[BH2(NH3)2][BH4],"Ammonia although being largely coordinate is considered an ionic/hard base, Hard base splits B2H6 assymetrically",Use complex form,
Most Stable Oxidation state of 3d series,"3, 4, 5, 3, 2, 3, 2, 2, 2, 2","First three simply act like s block. All other metals follow t2g,eg trends except Mn and Fe prefer half filled d, Cu prefers +2 due to better hydration",Sc Ti V Cr Mn Fe Co Ni Cu Zn. Comma Seperated. (Assume in Air for iron),3
KMnO4+▲->,K2MnO4(green)+MnO2(black)+O2,"KMnO4 to K2MnO4 is not that favourable a reaction, and moving to MnO2 has enough energy to initiate reverse of it. This can also be explained by showing how medium is not basic anymore and it will move to MnO2, but then the superoxide KO2 will further react with K2MnO4 to give KMnO4",Specify Colour too,
Ag+HCl(conc)->,no rxn,"Unlike Group I test conditions, conc HCl doesnt let O2 interact with Ag and Ag cant displace H in Cl",,
Ag+Aqua Regia->,no rxn,"Although HNO3 is present, Protective layer of AgCl is formed which will prevent reaction",,
Colours of the following compounds:,"Yellow, White, White, White, White, Pale Yellow, Yellow, Yellow, Brick Red",CO3 PO4 CrO4 Cr2O7 Br I show exceptional colours. PO4 is considered polarizable too while SO4 isnt. This can be seen like how PO4 isnt really as conjugated as SO4,"Ag2CO3, Ag2SO4, Ag2S2O3, AgOAc, AgCl, AgBr, AgI, Ag3PO4, Ag2CrO4",3
AgNO3+NaOH->,"Ag2O(ppt,black)+NaNO3+H2O",Ag(OH) doesnt exist. Ag will not readily oxidize OH to H2O+O2.,Specify Colour too,
AgNO3(excess)+I2+H2O->,"AgI(ppt,yellow)+AgIO3(ppt)+HNO3",I2 disproportionates in alkaline and Ag here is a little bit like alkaline in a sense that it can get displaced by a H+,,
H2SO4+HgCl2+H2O->,"HgSO4.HgO(ppt,yellow)+HCl",HgO has charecteristic yellow,,
Na2CrO4+H2O2+HCl,CrO5(blue)+H2O+NaCl,CrO5 is stabilized in presence of an organic ligand,,
Zn(NO3)2+▲->,ZnO+NO2+O2,Can be seen like H2O+NO2+O2,,
BeCl2.4H2O+▲->,Be(OH)2+HCl,"Exceptional, Mg hydrolyses like this too",,
Cations whose hydrated Chlorides on pyrolysis give oxides,Sn(II) Sn(IV) Bi Cu Hg(II) Al Zn Fe(III) Cr Mn Mg Fe(II),Metals whose Chlorides are soluble but hydroxides are only sparingly soluble will give HCl gas and oxide ppt since pyrolysis prefers ppt-ing and gas-ing,Include ox state in roman numerals if ambiguous,1
Ag+Na2S2O3(excess)->,Na3[Ag(S2O3)2]+Na2S,"Like SO3 and CO3, it dissolves on excess. But with S2O3 its because of complexation not bianion",,
ZnO+H2 (high T)->,H2O+Zn,"At high T, H reaches C in reactivity series/ellingham",,
Ash Test for Zinc,Co(NO3)2+ZnO->CoZnO2(Green)+NO2+O2,,Use Oxide form,
CuCl2(aq) on Crystallization,CuCl2.2H2O(Green),"Cu+2 is generally Blue in solution, Green in crystal",Include Colour,
CuCl2+HCl(excess)->,H2[CuCl4](green),This is almost effectively as in crystal (Green) because Cu is not complexing with water but Cl instead,Include Colour,
Water of Crystallization in the Sulphates:,"7,7,5,0",,"Zn, Fe(II), Cu(II), Ag",3
Ln+C (High T)->,Ln2C6,Ethynoids,Where Ln is a lanthanoid,
Diamagnetic Lanthanoids,Ce(IV) Yb(II) Lu(III),The actually lie after one d element (La) and not immediately after sblock. So that make Lu(III) and Yb(II) full-f configurations. Ce(IV) is noble configuration. It surprising how Ce(IV) is yellow and oxidizing eventhough f0 and diamagnetic,Include roman numerals. Space seperate.,1
Fe+H2SO4->,FeSO4+H2,Fe(II) gains stability when full t2g prefered (Mostly in solution),,
FeSO4+Air+▲->,Fe2O3+SO2+SO3,Fe(III) is more stable in air,,
Fe(COO)2 on Calcination->,FeO+CO+CO2,FeO is stable at high temperature (Almost like CO and CO2) given no free O2 around. It will move to Fe2O3 and Fe on cooling,,
FeCl2+O2->,Fe2O3+FeCl3,Fe(III) is more stable in air. Cl- cant really be oxidized by O2 so FeCl3 is also formed,,
FeCl2+O3->,Fe2O3+Cl2,Anion is oxidizable too,,
FeCl2+H2O->,Fe3O4+HCl+H2,"Readily hydrolysed, in absense of O2 Magnetite is formed exceptionally",,
Preparation of Na2O,Na+NaNO3->Na2O+N2,"Na is so reducing that it reduces NO3 to N2, not just take an O to make it NaNO2",,
Mg+C->,Mg2C3,Propanide,,
Pb+H2SO4->,no rxn,Protective coating often renders Pb less reaction than expected,,
Carborundum Preparation,(SiO2)n+C->(SiC)n+CO,CO at high T,Dont notate heating. Use true forms,
CO2+NH3+▲->,NH2CONH2+H2O,Acid-Base NH3CO2; H exchange NH2COOH; Ammonia Salt NH2COONH4; COONH4->CONH2,,
CH4+S8+SiO2->,H2S+CS2,Behaves analogous combustion. Include catalyst as if it was a reactant. Split alternative catalysts by /.,Include catalyst as if it was a reactant,
CS2+NaOH->,Na2CO3+Na2CS3+H2O,Behaves analogous to CO2,,
SiO2+Cl2->,no rxn,Only F2 can displace O2,,
SnO+NaOH+▲->,Na2[Sn(OH)6]+Sn,Heat will cause Sn(II)->Sn(IV),,
HgCl2+FeCl2(excess)->,Hg2Cl2(ppt)+FeCl3,"Stops at Hg2Cl2 as FeCl2 isnt really a reducer in fact, reaction is more driven by Hg",,
HgCl2+SnCl2(excess)->,Hg+SnCl4,Doesn't stop at Hg2Cl2,,
Scandium Pyrosilicate,Sc2Si2O7,Ortho Pyro Meta naming applies to Silicates too,,
Preparation of Silicones,Si+RCl+Cu->SiR2Cl2+H2O->(SiR2O)n,Cu dehydrogenates. It is better written as SiR2 to signify how Si is less EN than C. Si doesn't gem diol eliminate but make ether links. Si is easier to obtain in elemental form than SiH4 to start with. Cant start with SiO2 or SiCl4 for reaction control.,"Add reagant right away on subsequent steps, Include catalyst as if it was a reagant. Ignore byproducts.",
Silane+H2O->,no rxn,Silane is much more covalent and will not give H2 so fast,,
Silane+H2O [OH]->,H2+SiO2,Hydrolysis of SiH4 needs attack by OH unlike comparatively more ionic% hydrides,Use emperical-form,
SiCl4+H2O->,Si(OH)4+HCl,H2[SiCl6] is not formed. Cl doesn't drag electron to itself enough to shrink higher d-orbitals and bring them to bonding energy. only F does it for Si.,,
B2H6+N(CH3)3->,N(CH3)3BH3,Assymetric splitting by Ionic Base doesnt happen here as it is a Bulky Base. So It is forced to act as a covalent base and symetrically split.,,
Producer Gas,CO+N2,,,
PbCl2+LiEt->,PbEt4+Pb+LiCl,Pb(II) is comparatively more ionic (its the only clear cation in group 14). But Et wants covalence. (HSAB),,
CS2+Cl2+FeCl3 (Cold)->,CCl4+S2Cl2,"Reaction is initiated by Cl+. SCl2 is not formed. S2Cl2 at higher temperature will break into S2. When theres both S8(ppt) and Cl2, S2Cl2 is always a possible product.",,
SnO2+HNO3(conc)->,no rxn,SnO2 reacts only with H2SO4 for some reason.,,
SnCl2+H2O->,Sn(OH)Cl(ppt)+HCl,It precipitates before complete hydrolysis can happen (like SbOCl and BiOCl),,
SnCl2+Na2S->,"SnS(ppt,brown)+NaCl","There's no redox possibility here, Sn wont really reduce anything",,
SnCl4+H2S->,"SnS2(ppt,yellow)+HCl",,,
P4(white)+▲(extreme)->,P2,"Analogous to N2, releases P2 similar to S2 in heating of S8",,
P4(red)+Air->,no rxn,"P4O10 is not formed unlike white P, red P is relatively less reactive",,
Combustion of PH3,H3PO4+H2O,"Like CO2 and H2O, P's combusted form is usually P4O10, but since H2O is generated too, H3PO4 is formed",,
PH3+Ca(OCl)Cl+H2O->,PCl3+Ca(OH)2+HCl,PH3 has a surprising tendency to act like P-3 and H+ (and taking Cl+ from OCl) eventhough H is more electronegative here. This reaction is unlike NH3 where OCl will oxidize NH3,,
CuSO4+PH3->,Cu3P2+H2SO4,HSAB. PH3 has a surprising tendency to act like P-3 and H+ eventhough H is more electronegative here.,,
PH3+Cl2->,PCl3+HCl,"PH3 has a surprising tendency to act like P-3 and H+ eventhough H is more electronegative here. (This is only for PH3, once PCl3 is formed its just Pd+ - Cld-",,
NH3+Ca(OCl)Cl->,CaCl2+N2+H2O,Bleaching action,,
Assymetric Nitrogen Oxides,N2O3(blue) N2O,,,1
N2H4+2CuSO4->,Cu+N2+H2SO4,"Chemistry of N2H4 is very similar to H2O2 except N2H4 is not as redox-y as H2O2 and if redox, N2H4 is more reducing than oxidizing. N2H4->N2+[H]",,
N2H4+Zn+HCl->,ZnCl2+NH3,"Chemistry of N2H4 is very similar to H2O2 except N2H4 is not as redox-y as H2O2 and if redox, N2H4 is more reducing than oxidizing. N2H4+[H]->NH3",,
PtF6+O2->,O2[PtF6],,,
Xe+F2 ratios,"2:1, 1:5, 1:20",,Comma Seperate,3
XeF6+NaF->,Na[XeF7],Happens only with Group I Flourides,,
XeF4+SbF5->,[XeF3][SbF6],"F is a bridging ligand here, Xe if a flourinating agent and SbF5 is a deficient (neither octet, nor octahedral) flourides",,
NH3+NaOCl(1:1)->,NH2Cl+NaOH,"Cl+ displaces H+; if not 1:1 N2H4, N2, NH4Cl and several others maybe formed",,
NH4Cl+NaNH2->,NH3+NaCl,Neutralization but in Ammonical medium,,
Ba(NO3)2+AgCl->(in NH3),BaCl2(ppt)+AgNO3,Sometime HSAB doesnt give a clear side of product similar to this reaction. In ammonical medium it is driven by precipiation of BaCl2 and AgNO3 is exceptionally soluble by [Ag(NH3)2]. Most Chlorides precipitate in NH3,,
ZnCl2+NH4OH(excess)->,[Zn(NH3)4]Cl2+H2O,Zn(OH)2 precipitate dissolves due to complexation. Zn likes 4 Coordination,,
Zn(NH2)2+KNH2->,K2[Zn(NH2)4],Amphoteric Zinc. NH2- is ditto as OH-.,,
Laboratory Preparation of N2,NH4Cl+NaNO2->N2+NaCl+H2O,Effectively same as pyrolysis of NH4NO2 but using heat from the double displacement reaction,,
Be+Air->,no rxn,"Protective later coating will basically happen for most covalent ones and prepicipitates (PbSO4, AgCl, BeO, ZnO(Zn(OH)2)...) ",,
Preparation of BeF2(anhydrous),BeO+NH3+HF->(NH4)2[BeF4]->BeF2,All Be halides are prepared from BeO. BeCl2 is prepared from BeO+C+Cl2->BeCl2+CO,Ignore byproducts,
Be+H2->,no rxn,"Be is not reducing enough (its the worst in sblock) Like H2O, its not reactice to BeH2 either. BeH2 is made using LiAlH4",,
N2+O2 (extreme T)->,NO,"Similar to CO's stability at high T, NO gains too",,
Urea+H2O->,(NH4)2CO3,Acyl sub -> H2CO3 + 2NH3,,
PCl3+NH3(excess)->,P(NH2)3+NH4Cl,"Suprising P-3 character was only for phosphine, PCl3 is just as expected. NH3 is doing solvolysis just like H2O",,
HNO3+P4O10->,H4P4O12+N2O5,"In emperical form it looks like the centres just swapped: HNO3+P2O5->HPO3+N2O5. Unlike hydrolysis, not all anhydride links are broken. Anhydride links are broken until there's no 3 membered cycles left. OH is taken from acyl sub of NO3- on NO2(OH).",,
Ostwald's Process - Main step,NH3+O2+Pt->NO+H2O,effectively H-exchange driven by Pt between N and O. Used in prep of HNO3,Include (Major) Catalyst as if it was a reagant,
NaNO2+FeSO4+H2SO4(conc)->,Na2SO4+Fe2(SO4)3+NO2+SO2+H2O,NO2 doesnt need conc. H2SO4 since HNO2 will become HNO3+NO+O2 on its own. NO is further oxidized in conc H2SO4.,,
Na2S+HNO3->,S8(ppt)+NO2+H2O+NaNO3,"S-- becomes S8 with mild oxidizer, SO4 with strong oxidizer and S2O3 when *it is* the reducer. When not very very dilute, HNO3 still does oxidations over non-metals",,
Na2S+HNO3(conc)->,Na2SO4+NO2+H2O,Product of reduced half is different only with metals. Conc. HNO3 is actually a strong oxidizer and will oxidize S-- straight to SO4,,
Cu+HNO3->,Cu(NO3)2+NO+H2O,"Dilute and concentrated give different products only in reaction with metals. With dilute, there's lesser NO3 than metal, so each NO3 go to NO. This is only with metals because the reduced metal would displace another HNO3 and give enough H+ for this reaction to proceed.",,
Ag+HNO3(conc)->,AgNO3+NO2+H2O,"Ag is not exactly displacing H here. It is less reactive than H, but the anion is oxidizing and oxidizes Ag. Dilute and concentrated give different products only in reaction with metals. With concentrated, its the usual reaction (NO2).",,
Zn+HNO3->,Zn(NO3)2+N2O+H2O,"Why would Zn reduce H2 if it can easily reduce HNO3. With strongly reducing metals, N2O maybe formed for dilute following the same logic as HNO3->NO.",,
P4+SOCl2-> (Only Major Products),PCl3+SO2+S2Cl2,"Either S2Cl2 and PCl3 formed or PCl5 and S. Cant control which of the two happens in a mixture but PCl3 is major. When theres both S8(ppt) and Cl2, S2Cl2 is always a possible product",All products,
Byproduct of SN2 of ROH using PCl3,H3PO3,,,
Byproduct of SN2 of RCOOH using PCl5,H3PO4+HCl,,,
Byproduct of SN2 of ROH using PCl5,POCl3+HCl,Esterification happens beyond this at the phosphonyl,,
Metaphosphoric acid from Phosphorus acid,H3PO3+Br2->HBr+(HPO3)n,This weak oxidizer will oxidize H3PO3 like how it oxidizes carbonyl. Addition of Br+ and H2PO3- -> Elimination of HBr -> Repeat,"Don't notate heating, Several methods are possible but use the reaction given in ncert",
Phosphonic acid,H3PO3,Another name for phosphorous acid. This is NOT phosphinic acid,,
